,fluxes
PC17M,0.0
PC11M,0.0
R05219,0.0
PC6AR,0.0
PC6YM,0.0
PC8XM,0.0
HYGBDIAS,0.0
R12184,0.0
ADCYRS,0.0
CBIAT,0.0
HOXG,0.0
THRD_L,0.0
TRPS1,0.03679502513238993
GCCb,6.930839075356138
GCCc,6.930839075356138
AACTOOR,0.0
SERD_L,6.72788185753333
GCCa,6.930839075356138
THRS,0.0
THRA,0.0
SPTc,0.0
GLYTA,14.07716559263438
GHMT2r,-6.919859661649268
THRA2,0.0
PSSA120,0.0
PPND,0.07154423364125266
TRPS3,0.0
ANS,0.0
DHQS,0.2085020337025706
ANS2,0.03679502513238993
PPNDH,0.10016277492892799
ANPRT,0.03679502513238993
SHK3Dr,0.2085020337025706
AROH,0.0
PSCVT,0.2085020337025706
PRAIi,0.03679502513238993
TRPS2,0.0
DDPA,0.2085020337025706
CHORS,0.2085020337025706
DHQTi,0.2085020337025706
SHKK,0.2085020337025706
IGPS,0.03679502513238993
CHORM,0.17170700857018067
PHETA1,-0.10016277492892799
TYRTA,-0.07154423364125266
IPPS,0.0
ACCOAC,0.9389730255103075
PPC,0.0
ME1,-15.016129130913843
PTAr,-16.96603414002643
ACKr,16.96603414002643
PFOR,0.0
GLYOX,0.0
ACYP_2,0.0
r0097,-16.96467761014759
r0068,-16.96467761014759
LGTHL,0.0
HCITS,0.0
OAADCS,0.0
PEPCK,0.0
PGIA,0.0
UDPGD,0.0
PMANM,0.0
GFUCS,0.0
GMAND,0.0
MPAKI,0.0
MAN1PT,0.0
UDPG4E,0.0
UGE,0.0
G1PCTYT,0.0
GLGC,0.0
UAG2E,0.0
CDPGLC46DH,0.0
UAGCVT,0.01801641245335805
UAPGR,0.01801641245335805
ABFPT,0.0
PGAMT,-0.037389354785557175
HXAD,0.0
G1PACT,0.037389354785557175
UAGDP,0.037389354785557175
GF6PTA,0.037389354785557175
R08968,0.0
UDPGALNAC6DH,0.0
UDPACGA6D,0.0
GDPPS,0.0
FMETTRS,0.0
METTRS,0.0
ASNTRAT,0.0
LYSTRS,0.0
THRTRS,0.0
PHETRS,0.0
ASPTRS,0.0
ARGTRS,0.0
TYRTRS,0.0
CYSTRS,0.0
TRPTRS,0.0
VALTRS,0.0
PROTRS,0.0
ILETRS,0.0
SERTRS,0.0
HISTRS,0.0
LEUTRS,0.0
GLNTRAT,0.0
GLNTRS,0.0
GLYTRS,0.0
ALATRS,0.0
ICDHyr,0.0
FTHFLi,0.0
MTHFD,0.0
MTHFC,0.0
ARGSS,0.10323192377980593
ARGSL,0.10323192377980593
ALAD_L,0.0
P5CD,0.0
ASNS1,0.06081493013079402
AGTi,0.0
ASPO1,0.0
GLNS,0.35490636870766806
SSALx,0.0
SSALy,0.0
ASPTA,-0.538873016057875
FACOAL160,0.0
3OAR80,0.13968018596191706
3OAR100,0.13968018596191706
3HAD160,0.10089190973880507
3OAR140,0.1396801859619171
3OAR120,0.13968018596191706
3OAR60,0.13968018596191706
3HAD80,0.13968018596191706
3HAD180,0.0
3HAD100,0.13968018596191706
3HAD60,0.13968018596191706
MCOATA,0.9389730255103075
KAS14,0.0
3HAD120,0.1396801859619171
KAS15,0.13968018596191706
3OAR160,0.10089190973880507
3HAD140,0.13696712620423496
3OAR40,0.13968018596191706
3HAD40,0.13968018596191706
3OAS60,0.13968018596191706
3OAS80,0.13968018596191706
3OAS100,0.13968018596191706
3OAS120,0.13968018596191706
3OAS140,0.1396801859619171
3OAS160,0.10089190973880507
EAR40x,0.13968018596191706
EAR60x,0.13968018596191706
EAR80x,0.13968018596191706
EAR100x,0.13968018596191706
EAR120x,0.1396801859619171
EAR140x,0.13696712620423496
EAR160x,0.10089190973880507
FA160ACPHi,0.10089190973880507
3OAS180,0.0
3OAR180,0.0
EAR180x,0.0
FA80ACPHi,0.0
FA100ACPHi,0.0
FA120ACPHi,0.0
FA140ACPHi,0.03607521646542988
FA180ACPHi,0.0
RPG161161,0.0027554513163959367
RPG161140,0.0018652285834064805
RPG160161,0.004366330547519715
RPE161161,0.016320750104806703
RPE161140,0.003688065608099177
RPE160161,0.017634888424933996
RC08362,0.07571132386281758
RPC161161,0.0
RPC161140,0.0
RPC160161,0.0
RCL161161,0.0004239155871378365
RCL161140,0.0004663071458516201
RCL160161,0.0004239155871378365
THFAT,0.0
FTHFCL,0.0
NT5C,0.0
NNDPR,0.0
QULNS,0.0
NAMNPP,0.0
NADS2,0.0
NADK,0.0006794179898176247
NPH,0.0
NMNAT,0.0
ASPO6,0.0
NNAM,0.0
DNADDP,0.0
NNATr,0.0
NMNDA,0.0
NMNHYD,0.0
TDPGDH,0.0
TDPDRR,0.0
G1PTT,0.0
TDPDRE,0.0
GALUi,0.0
CSPMDDC,0.0
PUTA3,0.0
G5SD,0.20288600000416854
PHCD,0.0
GLU5K,0.20288600000416854
APRTO2,0.0
4HGLSD,0.0
SGDS,0.0
HPROa,0.0
ARGDC,0.0
P5CR,6.878629151180082
P5CRx,0.0
HPROb,0.0
ORNTA,-0.10323192377980593
PHCHGSm,0.0
PROD3,6.769988064508397
G5SADs,0.0996540762243626
EHGLAT,0.0
PBAL,0.0
APCPT,0.0
KARA1,0.0
DPR,0.0
ACLS,0.17426745871649318
PPNCL2,0.0
ASP1DC,0.0
DPCOAK,0.0
APNPT,0.0
VALTA,-0.17426745871649318
DHAD1,0.17426745871649318
DPCOAPP,0.0
PPCDC,0.0
MOHMT,0.0
PNTK,0.0
APPAT,0.0
GLYCL,0.0
HPI,0.0
DDPGA,0.0
PGLYCP,0.0
GLYCTO2,0.0
ACOTA,0.0
URCB,0.0
OCT,0.10323192377980593
ALPHNH,0.0
ORNTAC,0.0
ACGS,0.0
AGPR,0.0
ACGK,0.0
ARGN,0.0
GMHEPAT,0.0
UHGADA,0.0013565298788410767
MOAT2,0.0006782649394205384
LPADSS,0.0006782649394205384
TDSK,0.0006782649394205384
U23GAAT,0.0013565298788410767
AGMHE,0.0
S7PI,0.0
USHD,0.0006782649394205384
MOAT,0.0006782649394205384
UAGAAT,0.0013565298788410767
KDOPS,0.0013565298788410767
A5PISO,0.0013565298788410767
KDOPP,0.0013565298788410767
KDOCT2,0.0013565298788410767
GMHEPK,0.0
GMHEPPA,0.0
IPPMIa,0.0
ILETA,0.0
IPMD,0.0
DHAD2,0.0
ACHBS,0.0
LEUTA,0.0
CITCIb,0.0
IPPMIb,0.0
2ACLMM,0.17426745871649318
KARA4,-0.17426745871649318
KARI_1,0.0
KARI_23dhmp_1,0.0
ERTHMMOR,0.0
CITCIa,0.0
CITMS,0.0
OMCDC,0.0
GTHPi,0.0
GTHS,7.473631801240056e-05
GLUCYS,7.473631801240056e-05
APCS,0.0
AMPTASECG,0.0
OPAH,0.0
CYANST,0.0
PAPSR,0.0
SULR,0.0
42A12BOOX,0.0
TYROXDAc,0.0
3MOXTYROX,0.0
41R2A1H12BOOX,0.0
34HPPYRI,0.0
34DHOXPEGOX,0.0
MAOLNOR,0.0
HMR_6747,0.0
41R1H2MAE12BOOX,0.0
SDPTA,-0.14577609210495918
SDPDS,0.14577609210495918
DAPDC,0.12775967965160115
DAPE,0.14577609210495918
THDPS,0.14577609210495918
UGAGDS,0.0
UGMDDS2,0.0
H4THDPR,0.14577609210495918
H4THDPS,0.14577609210495918
FBA2,0.0
PSPPS,0.0
TOCOPHOM2,0.0
CHRPL,0.0
TOCOPHOM1,0.0
DMQMT,0.0
OMMBLHX,0.0
OMBZLM,0.0
OMPHHX,0.0
OHPHM,0.0
OPHHXy,0.0
OPHBDC,0.0
HBZOPT,0.0
OXPTNDH,0.0
PROD2,0.008987010447322133
HSTPT,0.0
PRATPP,0.0
PRMICI,0.0
HISDr,0.0
IGPDH,0.0
PRAMPC,0.0
IG3PS,0.0
ATPPRT,0.0
HP,0.0
HISTDa,0.0
HISTDb,0.0
PEAMNO,0.0
CINNDO,0.0
3HXKYNOXDA,0.0
5HOXINOXDA,0.0
TRYPTAOX,0.0
NTRLASE,0.0
NTRLASE3,0.0
NTRLASE2,0.0
ALAALAr,0.01801641245335805
UAMAGS,0.01801641245335805
ALATA_D,-0.2819759310964746
GLUR,-0.2999923435498327
ALAR,-0.24594310618975856
BGLA,0.0
UAAGDS,0.01801641245335805
UGMDDS,0.01801641245335805
PAPPT3,0.01801641245335805
UDCPDP,0.0
UDCPDPS,0.0
UAAGLS2,0.0
UGLDDS2,0.0
PAPPT2,0.0
UAGPT3,0.01801641245335805
UAMAS,0.01801641245335805
UAGPT2,0.0
DHAPT,0.0
ALCD19y,0.0
MI3PP,0.0
MI1PP,0.0
MI4PP,0.0
G3PD2,0.0
ETHAAL,0.0
G3PD,-0.008987010447322133
RE3511C,0.0
RE0066C,0.0
G3PD1ir,0.0
GPDDA1,0.0
GPDDA2,0.0
MICITDr,0.0
PTA2,0.0
ACOAD1,0.0
TMAMT,0.0
DXPS,0.0
TDP,0.0
TMPK,0.0
TMPPP,0.0
TMDPPK,0.0
AHMMPDPT,0.0
AHMMPS2,0.0
DXYTST,0.0
THZT,0.0
TMPPP_1,0.0
GLYCOX1,0.0
THMP,0.0
RBFSb,0.00022420895403720201
RBFK,0.00022420895403720201
FMNRx,7.473631801240056e-05
DHPPDA2,0.00022420895403720201
APRAUR,0.00022420895403720201
AFAT,7.473631801240089e-05
PMDPHT,0.00022420895403720201
RBFSa,0.00044841790807440403
