Kegg_ID	ModelSeed_ID	formula	charge
C14089	cpd09792	C11H10O	0
C14090	cpd09793	C11H8O	0
C14091	cpd09794	C11H7O2	-1
C14092	cpd09795	C11H9O4	-1
C14093	cpd09796	C11H7O4	-1
C14094	cpd09797	C11H6O6	-2
C14095	cpd09798	C11H6O6	-2
C14096	cpd09799	C8H5O4	-1
C14097	cpd09800	C8H4O5	-2
C14098	cpd09801	C11H10	0
C14099	cpd09802	C11H8O	0
C14100	cpd09803	C8H5O4	-1
C14101	cpd09804	C11H7O2	-1
C14102	cpd09805	C11H12O2	0
C14103	cpd09806	C8H7O3	-1
C14104	cpd09807	C11H12O3	0
C14105	cpd09808	C11H10O3	0
C14106	cpd09809	C11H9O5	-1
C14107	cpd09810	C11H9O5	-1
C14108	cpd09811	C8H8O3	0
C14109	cpd09812	C8H7O4	-1
C14110	cpd09813	C7H8O3	0
C14111	cpd09814	C11H11O2	-1
C14112	cpd09815	C9H12O4	-2
C14113	cpd09816	C11H17O2	-1
C14114	cpd09817	C10H12	0
C14115	cpd09818	C15H12O4	-2
C14116	cpd09819	C36H43N7O19P3S	-5
C14117	cpd09820	C36H41N7O19P3S	-5
C14118	cpd09821	C36H43N7O20P3S	-5
C14119	cpd09822	C36H41N7O20P3S	-5
C14120	cpd09823	C32H38N7O17P3S	-4
C14122	cpd09824	C32H32BrN2O2	1
C14123	cpd09825	C23H31N4O4S2	1
