pw_ID	pw_name	KO	EC	Reaction
map01100	Metabolic pathways	['K15776']	[]	['R08816']
map01100	Metabolic pathways	['K15774']	[]	['R08822']
map01100	Metabolic pathways	['K26038']	[]	['R08824']
map01100	Metabolic pathways	['K07415', 'K07418', 'K07422', 'K07425', 'K17721', 'K17728']	[' 1.14.14.1']	['R07046']
map01100	Metabolic pathways	['K18684']	[' 5.4.4.7']	['R07040']
map01100	Metabolic pathways	['K18684']	[' 5.4.4.7']	['R07039']
map01100	Metabolic pathways	['K05361']	[' 1.11.1.12']	['R07034']
map01100	Metabolic pathways	['K05361']	[' 1.11.1.12']	['R07035']
map01100	Metabolic pathways	['K07413', 'K07418', 'K17718']	[' 1.14.14.1']	['R07043']
map01100	Metabolic pathways	['K13223']	[' 1.14.14.153']	['R07403']
map01100	Metabolic pathways	['K13224']	[' 1.14.14.157']	['R07421']
map01100	Metabolic pathways	['K13226']	[' 1.14.14.110']	['R07423']
map01100	Metabolic pathways	['K13227']	[' 2.4.1.202']	['R07426']
map01100	Metabolic pathways	['K13229']	[' 1.14.11.59']	['R08972']
map01100	Metabolic pathways	['K13230']	[' 2.1.1.241']	['R08973']
map01100	Metabolic pathways	['K01782', 'K01825', 'K07516']	[' 1.1.1.259', ' 1.1.1.35']	['R05305']
map01100	Metabolic pathways	['K09829']	[]	['R07497']
map01100	Metabolic pathways	['K01019', 'K01134']	[' 2.8.2.11', ' 3.1.6.8']	['R12960', 'R12961']
map01100	Metabolic pathways	['K00725', 'K12373']	[' 2.4.1.92', ' 3.2.1.52']	['R12962', 'R12963']
map01100	Metabolic pathways	['K25598']	[' 6.7.1.1']	['R12943']
map01100	Metabolic pathways	['K25598']	[' 6.7.1.1']	['R12943']
map01100	Metabolic pathways	['K25563']	[' 1.14.13.249']	['R12912']
map01100	Metabolic pathways	['K25594']	[' 2.1.1.380']	['R12928']
map01100	Metabolic pathways	['K25562']	[' 1.14.13.248']	['R12907']
map01100	Metabolic pathways	['K25597']	[' 4.3.99.5']	['R12947']
map01100	Metabolic pathways	['K21181']	[' 5.4.3.6']	['R11366']
map01100	Metabolic pathways	['K00660']	[' 2.3.1.74']	['R12915']
map01100	Metabolic pathways	['K25584']	[]	['R12954']
map01100	Metabolic pathways	['K24871']	['K24871 (E2.1.3.16)', ' 2.1.3.16']	['R12703']
map01100	Metabolic pathways	['K17835']	[' 4.1.99.20']	['R10469']
map01100	Metabolic pathways	['K00798', 'K19221']	[' 2.5.1.17']	['R12184']
map01100	Metabolic pathways	['K01767']	[' 2.8.4.6']	['R12946']
map01100	Metabolic pathways	['K01935', 'K19562']	[' 6.3.3.3']	['R12934']
map01100	Metabolic pathways	['K01935', 'K19562']	[' 6.3.3.3']	['R12933']
map01100	Metabolic pathways	['K01435']	[' 3.5.1.12']	['R01077']
map01100	Metabolic pathways	['K01435']	[' 3.5.1.12']	['R01077']
map01100	Metabolic pathways	['K11540', 'K11541', 'K00609', 'K00610', 'K00608']	[' 3.5.1.7', ' 2.1.3.2']	['R00484', 'R01397']
map01100	Metabolic pathways	['K11540', 'K11541', 'K00609', 'K00610', 'K00608']	[' 3.5.1.7', ' 2.1.3.2']	['R00484', 'R01397']
map01100	Metabolic pathways	['K01924']	[' 6.3.2.8']	['R03193']
map01100	Metabolic pathways	['K25496']	[]	['R12857']
map01100	Metabolic pathways	['K03186']	[' 2.5.1.129']	['R11225']
map01100	Metabolic pathways	['K21254']	[]	['R11412']
map01100	Metabolic pathways	['K20422']	[' 2.3.1.237']	['R11125']
map01100	Metabolic pathways	['K15320']	[' 2.3.1.165']	['R07253']
map01100	Metabolic pathways	['K25517', 'K09128']	[]	['R12894']
map01100	Metabolic pathways	['K06981']	[' 2.7.4.26']	['R10093']
map01100	Metabolic pathways	['K00938', 'K13273']	['K00938 (E2.7.4.2)', ' 2.7.4.2']	['R03245']
map01100	Metabolic pathways	['K25518', 'K25518', 'K03186']	[]	['R12895']
map01100	Metabolic pathways	['K22465']	[' 4.1.99.23']	['R11919']
