pw_ID	pw_name	KO	EC	Reaction
map01220	Degradation of aromatic compounds	['K05714']	[]	['R06789']
map01220	Degradation of aromatic compounds	['K05714']	[]	['R06789']
map01220	Degradation of aromatic compounds	['K18092']	[]	['R05366']
map01220	Degradation of aromatic compounds	['K18092']	[]	['R05366']
map01220	Degradation of aromatic compounds	['K05713']	[]	['R04376']
map01220	Degradation of aromatic compounds	['K05714']	[]	['R02603']
map01220	Degradation of aromatic compounds	['K05714']	[]	['R02603']
map01220	Degradation of aromatic compounds	['K00462']	[]	['R05245']
map01220	Degradation of aromatic compounds	['K10222']	[]	['R05359']
map01220	Degradation of aromatic compounds	['K10222']	[]	['R05359']
map01220	Degradation of aromatic compounds	['K15749']	[]	['R05413']
map01220	Degradation of aromatic compounds	['K16249', 'K16243', 'K16244', 'K16242', 'K16245', 'K16246']	[]	['R10043']
map01220	Degradation of aromatic compounds	['K16249', 'K16243', 'K16244', 'K16242', 'K16245', 'K16246']	[]	['R10042']
map01220	Degradation of aromatic compounds	['K16249', 'K16243', 'K16244', 'K16242', 'K16245', 'K16246']	[]	['R03560']
map01220	Degradation of aromatic compounds	['K15760', 'K15761', 'K15762', 'K15763', 'K15764', 'K15765']	[]	['R03562']
map01220	Degradation of aromatic compounds	['K15760', 'K15761', 'K15762', 'K15763', 'K15764', 'K15765']	[]	['R05666']
map01220	Degradation of aromatic compounds	['K16249', 'K16243', 'K16244', 'K16242', 'K16245', 'K16246']	[]	['R03608']
map01220	Degradation of aromatic compounds	['K16157', 'K16158', 'K16159', 'K16160', 'K16161', 'K16162']	[]	['R01142']
map01220	Degradation of aromatic compounds	['K07543', 'K07544']	[]	['R05588']
map01220	Degradation of aromatic compounds	['K07545']	[]	['R05584']
map01220	Degradation of aromatic compounds	['K07546']	[]	['R05599']
map01220	Degradation of aromatic compounds	['K07547', 'K07548']	[]	['R05575']
map01220	Degradation of aromatic compounds	['K07549', 'K07550']	[]	['R05587']
map01220	Degradation of aromatic compounds	['K14746']	[]	['R05352']
map01220	Degradation of aromatic compounds	['K10700', 'K17048', 'K17049']	[]	['R05745']
map01220	Degradation of aromatic compounds	['K10701']	[]	['R05453']
map01220	Degradation of aromatic compounds	['K14747']	[]	['R05452']
map01220	Degradation of aromatic compounds	['K07549', 'K07550']	[]	['R05587']
map01220	Degradation of aromatic compounds	['K01612', 'K21759', 'K03186']	[]	['R01238']
map01220	Degradation of aromatic compounds	['K04105']	[]	['R01300']
map01220	Degradation of aromatic compounds	['K04107', 'K04108', 'K04109']	[]	['R05316']
map01220	Degradation of aromatic compounds	['K07537']	[]	['R05597']
map01220	Degradation of aromatic compounds	['K04112', 'K04113', 'K04114', 'K04115', 'K19515', 'K19516']	[]	['R02451', 'R10961']
map01220	Degradation of aromatic compounds	['K07538']	[]	['R05581']
map01220	Degradation of aromatic compounds	['K07539']	[]	['R05594']
map01220	Degradation of aromatic compounds	['K07534']	[]	['R05600']
map01220	Degradation of aromatic compounds	['K07535']	[]	['R05582']
map01220	Degradation of aromatic compounds	['K07536']	[]	['R05592']
map01220	Degradation of aromatic compounds	['K07540']	['K07540 (E4.1.99.11)']	['R05598']
map01220	Degradation of aromatic compounds	['K15569', 'K15570']	[]	['R06904']
map01220	Degradation of aromatic compounds	['K15571']	[]	['R06905']
map01220	Degradation of aromatic compounds	['K15572']	[]	['R06906']
map01220	Degradation of aromatic compounds	['K15573', 'K19958']	[]	['R06907']
map01220	Degradation of aromatic compounds	['K15574', 'K15575']	[]	['R06908']
map01220	Degradation of aromatic compounds	['K15574', 'K15575']	[]	['R06908']
map01220	Degradation of aromatic compounds	['K01670', 'K15567', 'K15568']	[]	['R06903']
map01220	Degradation of aromatic compounds	['K18067']	[]	['R05275']
map01220	Degradation of aromatic compounds	['K18068', 'K18069']	[]	['R03630']
map01220	Degradation of aromatic compounds	['K16269']	[]	['R05354']
map01220	Degradation of aromatic compounds	['K16269']	[]	['R06857']
map01220	Degradation of aromatic compounds	['K03268', 'K16268', 'K18089', 'K18090']	[]	['R06856']
map01220	Degradation of aromatic compounds	['K16269']	[]	['R05397']
map01220	Degradation of aromatic compounds	['K03268', 'K16268', 'K18089', 'K18090']	[]	['R05429']
map01220	Degradation of aromatic compounds	['K19065']	[]	['R01628']
map01220	Degradation of aromatic compounds	['K00487']	[]	['R02253']
map01220	Degradation of aromatic compounds	['K05712']	[]	['R06787']
map01220	Degradation of aromatic compounds	['K05712']	[]	['R06786']
map01220	Degradation of aromatic compounds	['K17754', 'K19960']	[]	['R02229']
map01220	Degradation of aromatic compounds	['K03379']	[]	['R02231']
map01220	Degradation of aromatic compounds	['K01053']	[]	['R03751']
map01220	Degradation of aromatic compounds	['K00002', 'K19961']	[]	['R05231', 'R05283']
map01220	Degradation of aromatic compounds	['K14519']	[]	['R05099']
map01220	Degradation of aromatic compounds	['K14731']	[]	['R06390']
map01220	Degradation of aromatic compounds	['K15751', 'K15752', 'K15753']	[]	['R05414', 'R09512']
map01220	Degradation of aromatic compounds	['K15754', 'K15755']	[]	['R05415']
map01220	Degradation of aromatic compounds	['K15756']	[]	['R05365']
map01220	Degradation of aromatic compounds	['K15756']	[]	['R05365']
map01220	Degradation of aromatic compounds	['K14599', 'K14600', 'K22715', 'K22716']	[]	['R05434']
map01220	Degradation of aromatic compounds	['K15749']	[]	['R05411']
map01220	Degradation of aromatic compounds	['K22717']	[]	['R05360']
map01220	Degradation of aromatic compounds	['K22717']	[]	['R05360']
map01220	Degradation of aromatic compounds	['K00481']	[]	['R01298']
map01220	Degradation of aromatic compounds	['K10676']	[]	['R05441']
map01220	Degradation of aromatic compounds	['K06912']	[]	['R05493']
map01220	Degradation of aromatic compounds	['K10676']	[]	['R03997']
map01220	Degradation of aromatic compounds	['K06912']	[]	['R05419']
map01220	Degradation of aromatic compounds	['K00483', 'K00484', 'K16901', 'K16901']	[]	['R02698']
map01220	Degradation of aromatic compounds	['K00455']	[]	['R03303']
map01220	Degradation of aromatic compounds	['K00151', 'K10219']	[]	['R04418', 'R04419']
map01220	Degradation of aromatic compounds	['K01826']	[]	['R04379']
map01220	Degradation of aromatic compounds	['K05921']	[]	['R04380']
map01220	Degradation of aromatic compounds	['K00217']	['K00217 (E1.3.1.32)']	['R05355']
map01220	Degradation of aromatic compounds	['K15242']	[]	['R05408']
map01220	Degradation of aromatic compounds	['K00217']	['K00217 (E1.3.1.32)']	['R07781']
map01220	Degradation of aromatic compounds	['K14579', 'K14580', 'K14578', 'K14581']	[]	['R02968']
map01220	Degradation of aromatic compounds	['K14582']	[]	['R04115']
map01220	Degradation of aromatic compounds	['K14583']	[]	['R04117']
map01220	Degradation of aromatic compounds	['K14584']	[]	['R05137']
map01220	Degradation of aromatic compounds	['K14585']	[]	['R05136']
map01220	Degradation of aromatic compounds	['K00152']	[]	['R02941']
map01220	Degradation of aromatic compounds	['K14579', 'K14580', 'K14578', 'K14581']	[]	['R06909']
map01220	Degradation of aromatic compounds	['K14582']	[]	['R06910']
map01220	Degradation of aromatic compounds	['K00480']	['K00480 (E1.14.13.1)']	['R00818']
map01220	Degradation of aromatic compounds	['K00480']	['K00480 (E1.14.13.1)']	['R06915']
map01220	Degradation of aromatic compounds	['K11943', 'K11944']	[]	['R05843']
map01220	Degradation of aromatic compounds	['K18257']	[]	['R04151']
map01220	Degradation of aromatic compounds	['K11945']	[]	['R05650']
map01220	Degradation of aromatic compounds	['K11946']	[]	['R05648']
map01220	Degradation of aromatic compounds	['K11947']	[]	['R05649']
map01220	Degradation of aromatic compounds	['K00480']	['K00480 (E1.14.13.1)']	['R05632']
map01220	Degradation of aromatic compounds	['K00141']	[]	['R07666', 'R07667']
map01220	Degradation of aromatic compounds	['K15768', 'K15769']	[]	['R05281']
map01220	Degradation of aromatic compounds	['K13953', 'K13954', 'K00001', 'K00121', 'K04072']	[' K00001 (E1.1.1.1)']	['R06917']
map01220	Degradation of aromatic compounds	['K13953', 'K13954', 'K00001', 'K00121', 'K04072']	[' K00001 (E1.1.1.1)']	['R06927']
map01220	Degradation of aromatic compounds	['K16269']	[]	['R06832']
map01220	Degradation of aromatic compounds	['K03268', 'K16268', 'K18089', 'K18090']	[]	['R06831']
map01220	Degradation of aromatic compounds	['K07824']	[]	['R01295']
map01220	Degradation of aromatic compounds	['K00481']	[]	['R01296', 'R01298']
map01220	Degradation of aromatic compounds	['K00487']	[]	['R08815']
map01220	Degradation of aromatic compounds	['K14599', 'K14600', 'K22715', 'K22716']	[]	['R05439']
map01220	Degradation of aromatic compounds	['K05921']	[]	['R04134']
map01220	Degradation of aromatic compounds	['K18255']	[]	['R09228']
map01220	Degradation of aromatic compounds	['K18251', 'K18252', 'K18253', 'K18254']	[]	['R09227']
map01220	Degradation of aromatic compounds	['K04073', 'K18366']	[]	['R00228']
map01220	Degradation of aromatic compounds	['K18366']	[]	['R09097']
map01220	Degradation of aromatic compounds	['K10216']	[]	['R02604']
map01220	Degradation of aromatic compounds	['K10216']	[]	['R02604']
map01220	Degradation of aromatic compounds	['K00446', 'K07104']	[]	['R00816']
map01220	Degradation of aromatic compounds	['K14579', 'K14580', 'K14578', 'K14581']	[]	['R09233']
map01220	Degradation of aromatic compounds	['K14579', 'K14580', 'K14578', 'K14581']	[]	['R07706']
map01220	Degradation of aromatic compounds	['K08686', 'K20808', 'K20809']	[]	['R01033']
map01220	Degradation of aromatic compounds	['K21317', 'K21318', 'K21319', 'K21320', 'K21321', 'K21322']	[]	['R11448']
map01220	Degradation of aromatic compounds	['K22676']	[]	['R12025']
map01220	Degradation of aromatic compounds	['K08689', 'K15750', 'K18087', 'K18088']	[]	['R05475']
map01220	Degradation of aromatic compounds	['K22677']	[]	['R05363']
map01220	Degradation of aromatic compounds	['K22677']	[]	['R05363']
map01220	Degradation of aromatic compounds	['K00462']	[]	['R05256']
map00010	Glycolysis / Gluconeogenesis	['K01623', 'K01624', 'K01622', 'K01622', 'K11645', 'K16305', 'K16305', 'K16306', 'K16306']	[' 4.1.2.13']	['R01070']
map00010	Glycolysis / Gluconeogenesis	['K00128', 'K14085', 'K00149']	[' 1.2.1.3']	['R00710']
map00010	Glycolysis / Gluconeogenesis	['K01905', 'K22224', 'K24012']	[' 6.2.1.13']	['R00229']
map00010	Glycolysis / Gluconeogenesis	['K00129']	[' 1.2.1.5']	['R00711']
map00010	Glycolysis / Gluconeogenesis	['K01568']	[' 4.1.1.1']	['R00755']
map00010	Glycolysis / Gluconeogenesis	['K00002', 'K12957', 'K13979']	[' 1.1.1.2']	['R00746']
map00010	Glycolysis / Gluconeogenesis	['K13951', 'K13980', 'K13952', 'K13953', 'K13954', 'K00001', 'K00121', 'K04072', 'K18857']	[' K00001 (E1.1.1.1)', ' 1.1.1.1']	['R00754']
map00010	Glycolysis / Gluconeogenesis	['K01568']	[' 4.1.1.1']	['R00014']
map00010	Glycolysis / Gluconeogenesis	['K00163', 'K00161', 'K00162']	[' 1.2.4.1']	['R00014']
map00010	Glycolysis / Gluconeogenesis	['K00163', 'K00161', 'K00162']	[' 1.2.4.1']	['R03270']
map00010	Glycolysis / Gluconeogenesis	['K00627']	[' 2.3.1.12']	['R02569']
map00010	Glycolysis / Gluconeogenesis	['K00016']	[' 1.1.1.27']	['R00703']
map00010	Glycolysis / Gluconeogenesis	['K00873', 'K12406']	[' 2.7.1.40']	['R00200']
map00010	Glycolysis / Gluconeogenesis	['K01689']	[' 4.2.1.11']	['R00658']
map00010	Glycolysis / Gluconeogenesis	['K01834', 'K15634', 'K01837']	[' 5.4.2.11']	['R01518']
map00010	Glycolysis / Gluconeogenesis	['K00134', 'K10705']	[' 1.2.1.12']	['R01061']
map00010	Glycolysis / Gluconeogenesis	['K01803']	[' 5.3.1.1']	['R01015']
map00010	Glycolysis / Gluconeogenesis	['K24182', 'K00850', 'K16370', 'K21071']	[' 2.7.1.11']	['R04779']
map00010	Glycolysis / Gluconeogenesis	['K03841', 'K02446', 'K11532', 'K01086', 'K04041', 'K01622', 'K01622']	[' 3.1.3.11']	['R04780']
map00010	Glycolysis / Gluconeogenesis	['K02777', 'K02779', 'K02791', 'K20118']	[' 2.7.1.199']	['R02738']
map00010	Glycolysis / Gluconeogenesis	['K01810', 'K06859', 'K13810', 'K15916']	[' 5.3.1.9']	['R02740']
map00010	Glycolysis / Gluconeogenesis	['K01835', 'K15779', 'K15778']	[' 5.4.2.2']	['R00959']
map00010	Glycolysis / Gluconeogenesis	['K01810', 'K06859', 'K13810', 'K15916']	[' 5.3.1.9']	['R03321']
map00010	Glycolysis / Gluconeogenesis	['K00844']	[' 2.7.1.1']	['R01600']
map00010	Glycolysis / Gluconeogenesis	['K12407', 'K00845', 'K25026']	[' 2.7.1.2']	['R01600']
map00010	Glycolysis / Gluconeogenesis	['K01810', 'K06859', 'K13810', 'K15916']	[' 5.3.1.9']	['R02739']
map00010	Glycolysis / Gluconeogenesis	['K01792']	['K01792 (E5.1.3.15)', ' 5.1.3.15']	['R02739']
map00010	Glycolysis / Gluconeogenesis	['K01785']	[' 5.1.3.3']	['R01602']
map00010	Glycolysis / Gluconeogenesis	['K12407', 'K00845', 'K25026']	[' 2.7.1.2']	['R01786']
map00010	Glycolysis / Gluconeogenesis	['K00844']	[' 2.7.1.1']	['R01786']
map00010	Glycolysis / Gluconeogenesis	['K01084']	[' 3.1.3.9']	['R01788']
map00010	Glycolysis / Gluconeogenesis	['K01085', 'K20866']	[' 3.1.3.10']	['R00947']
map00010	Glycolysis / Gluconeogenesis	['K00382']	[' 1.8.1.4']	['R07618']
map00010	Glycolysis / Gluconeogenesis	['K00927']	[' 2.7.2.3']	['R01512']
map00010	Glycolysis / Gluconeogenesis	['K00886']	[' 2.7.1.63']	['R02189']
map00010	Glycolysis / Gluconeogenesis	['K00886']	[' 2.7.1.63']	['R02187']
map00010	Glycolysis / Gluconeogenesis	['K02777', 'K02753']	[]	['R05132']
map00010	Glycolysis / Gluconeogenesis	['K02777', 'K02753']	[]	['R04394']
map00010	Glycolysis / Gluconeogenesis	['K01222', 'K01223']	['K01222 (E3.2.1.86A)', ' K01223 (E3.2.1.86B)', ' 3.2.1.86']	['R05133']
map00010	Glycolysis / Gluconeogenesis	['K01222', 'K01223']	['K01222 (E3.2.1.86A)', ' K01223 (E3.2.1.86B)', ' 3.2.1.86']	['R05134']
map00010	Glycolysis / Gluconeogenesis	['K01596']	['K01596 (E4.1.1.32)', ' 4.1.1.32']	['R00431', 'R00726']
map00010	Glycolysis / Gluconeogenesis	['K14028', 'K14029']	[' 1.1.2.7']	['R09127']
map00010	Glycolysis / Gluconeogenesis	['K01610']	['K01610 (E4.1.1.49)', ' 4.1.1.49']	['R00341']
map00010	Glycolysis / Gluconeogenesis	['K04022']	[]	['R00754']
map00010	Glycolysis / Gluconeogenesis	['K00150']	[' 1.2.1.59']	['R01061', 'R01063']
map00010	Glycolysis / Gluconeogenesis	['K11389']	[' 1.2.7.6']	['R07159']
map00010	Glycolysis / Gluconeogenesis	['K00131']	[' 1.2.1.9']	['R01058']
map00010	Glycolysis / Gluconeogenesis	['K00169', 'K00170', 'K00172', 'K00189', 'K00171', 'K03737']	[' 1.2.7.1']	['R01196']
map00010	Glycolysis / Gluconeogenesis	['K01837']	[' 5.4.2.11']	['R01516']
map00010	Glycolysis / Gluconeogenesis	['K01837']	[' 5.4.2.4']	['R01662']
map00010	Glycolysis / Gluconeogenesis	['K01895', 'K01913']	[' 6.2.1.1']	['R00235']
map00010	Glycolysis / Gluconeogenesis	['K00918']	[' 2.7.1.146']	['R09084']
map00010	Glycolysis / Gluconeogenesis	['K08074', 'K00918']	[' 2.7.1.147']	['R09085']
map00010	Glycolysis / Gluconeogenesis	['K08074', 'K00918']	[' 2.7.1.147']	['R09086']
map00010	Glycolysis / Gluconeogenesis	['K00114']	[' 1.1.2.8']	['R05198']
map00010	Glycolysis / Gluconeogenesis	['K15633', 'K15635']	[' 5.4.2.12']	['R01518']
map00010	Glycolysis / Gluconeogenesis	['K00138']	[]	['R00711']
map00010	Glycolysis / Gluconeogenesis	['K03103']	[' 3.1.3.80']	['R09532']
map00010	Glycolysis / Gluconeogenesis	['K18978']	[' 1.2.1.90']	['R01058', 'R10860']
map00010	Glycolysis / Gluconeogenesis	['K00174', 'K00175']	[' 1.2.7.11']	['R01196']
map00010	Glycolysis / Gluconeogenesis	['K00895', 'K21071']	[' 2.7.1.90']	['R02073']
map00010	Glycolysis / Gluconeogenesis	['K22473', 'K22474']	[' 1.1.5.5']	['R09479']
map00010	Glycolysis / Gluconeogenesis	['K01006']	[' 2.7.9.1']	['R00206']
map00010	Glycolysis / Gluconeogenesis	['K01007']	[' 2.7.9.2']	['R00199']
map00020	Citrate cycle (TCA cycle)	['K00382']	[' 1.8.1.4']	['R07618']
map00020	Citrate cycle (TCA cycle)	['K00164', 'K01616']	[' 1.2.4.2']	['R00621']
map00020	Citrate cycle (TCA cycle)	['K00164', 'K01616']	[' 1.2.4.2']	['R03316']
map00020	Citrate cycle (TCA cycle)	['K00658', 'K01616']	[' 2.3.1.61']	['R02570']
map00020	Citrate cycle (TCA cycle)	['K01902', 'K01903', 'K01899', 'K01900']	[' 6.2.1.5']	['R00405']
map00020	Citrate cycle (TCA cycle)	['K01899', 'K01900']	[' 6.2.1.4']	['R00432', 'R00727']
map00020	Citrate cycle (TCA cycle)	['K00031']	[' 1.1.1.42']	['R00268']
map00020	Citrate cycle (TCA cycle)	['K00030']	[' 1.1.1.41']	['R00709']
map00020	Citrate cycle (TCA cycle)	['K00031']	[' 1.1.1.42']	['R01899']
map00020	Citrate cycle (TCA cycle)	['K01648', 'K15230', 'K15231']	[' 2.3.3.8']	['R00352']
map00020	Citrate cycle (TCA cycle)	['K01676', 'K01677', 'K01678', 'K01679', 'K01675', 'K01774']	['K01676 (E4.2.1.2A)', ' K01677 (E4.2.1.2AA)', ' K01678 (E4.2.1.2AB)', ' K01679 (E4.2.1.2B)', ' 4.2.1.2']	['R01082']
map00020	Citrate cycle (TCA cycle)	['K01681', 'K01682']	[' 4.2.1.3']	['R01900']
map00020	Citrate cycle (TCA cycle)	['K01681', 'K01682']	[' 4.2.1.3']	['R01325']
map00020	Citrate cycle (TCA cycle)	['K01647']	[' 2.3.3.1']	['R00351']
map00020	Citrate cycle (TCA cycle)	['K00025', 'K00026', 'K00024']	[' 1.1.1.37']	['R00342']
map00020	Citrate cycle (TCA cycle)	['K01958', 'K01959', 'K01960']	[' 6.4.1.1']	['R00344']
map00020	Citrate cycle (TCA cycle)	['K00163', 'K00161', 'K00162']	[' 1.2.4.1']	['R00014']
map00020	Citrate cycle (TCA cycle)	['K00163', 'K00161', 'K00162']	[' 1.2.4.1']	['R03270']
map00020	Citrate cycle (TCA cycle)	['K00382']	[' 1.8.1.4']	['R07618']
map00020	Citrate cycle (TCA cycle)	['K00627']	[' 2.3.1.12']	['R02569']
map00020	Citrate cycle (TCA cycle)	['K01610']	['K01610 (E4.1.1.49)', ' 4.1.1.49']	['R00341']
map00020	Citrate cycle (TCA cycle)	['K01596']	['K01596 (E4.1.1.32)', ' 4.1.1.32']	['R00431', 'R00726']
map00020	Citrate cycle (TCA cycle)	['K17753']	[' 1.1.1.286']	['R00709']
map00020	Citrate cycle (TCA cycle)	['K18118']	[' 2.8.3.18']	['R10343']
map00020	Citrate cycle (TCA cycle)	['K00234', 'K00235', 'K00236', 'K00237', 'K25801', 'K00239', 'K00240', 'K00241', 'K00242', 'K18859', 'K18860', 'K00244', 'K00245', 'K00246', 'K00247', 'K00233', 'K25995', 'K25996']	[' 1.3.5.1']	['R02164']
map00020	Citrate cycle (TCA cycle)	['K00116']	[' 1.1.5.4']	['R00361']
map00020	Citrate cycle (TCA cycle)	['K00174', 'K00175']	[' 1.2.7.11']	['R01197']
map00020	Citrate cycle (TCA cycle)	['K00169', 'K00170', 'K00172', 'K00189', 'K00171', 'K03737']	[' 1.2.7.1']	['R01196']
map00020	Citrate cycle (TCA cycle)	['K00174', 'K00175']	[' 1.2.7.11']	['R01196']
map00020	Citrate cycle (TCA cycle)	['K00174', 'K00175', 'K00177', 'K00176']	[' 1.2.7.3']	['R01197']
map00020	Citrate cycle (TCA cycle)	['K05942']	['K05942 (E2.3.3.3)', ' 2.3.3.3']	['R00351']
map00020	Citrate cycle (TCA cycle)	['K26318']	[' 1.3.2.4']	['R13137']
map00030	Pentose phosphate pathway	['K05774']	[' 2.7.4.23']	['R06836']
map00030	Pentose phosphate pathway	['K01810', 'K06859', 'K13810', 'K15916']	[' 5.3.1.9']	['R02739']
map00030	Pentose phosphate pathway	['K01625', 'K17463']	[' 4.1.2.14']	['R05605']
map00030	Pentose phosphate pathway	['K00852']	[' 2.7.1.15']	['R02750']
map00030	Pentose phosphate pathway	['K01839', 'K15779', 'K22199']	[' 5.4.2.7']	['R02749']
map00030	Pentose phosphate pathway	['K01619']	[' 4.1.2.4']	['R01066']
map00030	Pentose phosphate pathway	['K00948']	[' 2.7.6.1']	['R01049']
map00030	Pentose phosphate pathway	['K01839', 'K15779', 'K22199']	[' 5.4.2.7']	['R01057']
map00030	Pentose phosphate pathway	['K00852']	[' 2.7.1.15']	['R01051']
map00030	Pentose phosphate pathway	['K00615']	['K00615 (E2.2.1.1)', ' 2.2.1.1']	['R01641']
map00030	Pentose phosphate pathway	['K01807', 'K01808']	[' 5.3.1.6']	['R01056']
map00030	Pentose phosphate pathway	['K01783']	[' 5.1.3.1']	['R01529']
map00030	Pentose phosphate pathway	['K00615']	['K00615 (E2.2.1.1)', ' 2.2.1.1']	['R01830']
map00030	Pentose phosphate pathway	['K01623', 'K01624', 'K01622', 'K01622', 'K11645', 'K16305', 'K16305', 'K16306', 'K16306']	[' 4.1.2.13']	['R01070']
map00030	Pentose phosphate pathway	['K24182', 'K00850', 'K16370', 'K21071']	[' 2.7.1.11']	['R04779']
map00030	Pentose phosphate pathway	['K03841', 'K02446', 'K11532', 'K01086', 'K04041', 'K01622', 'K01622']	[' 3.1.3.11']	['R04780']
map00030	Pentose phosphate pathway	['K01810', 'K06859', 'K13810', 'K15916']	[' 5.3.1.9']	['R02740']
map00030	Pentose phosphate pathway	['K00032']	['K00032 (E1.1.1.43)', ' 1.1.1.43']	['R02032', 'R02034']
map00030	Pentose phosphate pathway	['K11441']	[' 2.7.1.13']	['R02658']
map00030	Pentose phosphate pathway	['K00033']	[' 1.1.1.44']	['R01528']
map00030	Pentose phosphate pathway	['K01057', 'K07404']	[' 3.1.1.31']	['R02035']
map00030	Pentose phosphate pathway	['K00036']	[' 1.1.1.49']	['R02736']
map00030	Pentose phosphate pathway	['K22345']	['K22345 (E4.3.1.9)', ' 4.3.1.9']	['R01544']
map00030	Pentose phosphate pathway	['K00874']	[' 2.7.1.45']	['R01541']
map00030	Pentose phosphate pathway	['K01690']	[' 4.2.1.12']	['R02036']
map00030	Pentose phosphate pathway	['K00851', 'K25031']	[' 2.7.1.12']	['R01737']
map00030	Pentose phosphate pathway	['K05308']	[' 4.2.1.140']	['R01538']
map00030	Pentose phosphate pathway	['K01053']	[' 3.1.1.17']	['R01519']
map00030	Pentose phosphate pathway	['K00117']	[' 1.1.5.2']	['R06620']
map00030	Pentose phosphate pathway	['K00115', 'K19813']	[' 1.1.5.9']	['R00305']
map00030	Pentose phosphate pathway	['K00034', 'K22969']	[' 1.1.1.47']	['R01520', 'R01521']
map00030	Pentose phosphate pathway	['K21840']	[' 1.1.3.5']	['R01522']
map00030	Pentose phosphate pathway	['K06151', 'K06152']	['K06151 (E1.1.99.3A)', ' K06152 (E1.1.99.3G)', ' 1.1.99.3']	['R01741']
map00030	Pentose phosphate pathway	['K00616', 'K13810']	[' 2.2.1.2']	['R01827']
map00030	Pentose phosphate pathway	['K01835', 'K15779', 'K15778']	[' 5.4.2.2']	['R01057']
map00030	Pentose phosphate pathway	['K11395']	[' 4.1.2.55']	['R08570']
map00030	Pentose phosphate pathway	['K03738']	[' 1.2.7.5']	['R08571']
map00030	Pentose phosphate pathway	['K11529']	[' 2.7.1.165']	['R08572']
map00030	Pentose phosphate pathway	['K11395']	[' 4.1.2.55']	['R05605']
map00030	Pentose phosphate pathway	['K01621']	[' 4.1.2.9']	['R01621']
map00030	Pentose phosphate pathway	['K00090', 'K22229', 'K22229']	[' 1.1.1.215']	['R01739']
map00030	Pentose phosphate pathway	['K13937']	[]	['R02736', 'R02035']
map00030	Pentose phosphate pathway	['K00918']	[' 2.7.1.146']	['R09084']
map00030	Pentose phosphate pathway	['K08093', 'K13812', 'K13831']	[' 4.1.2.43']	['R05338']
map00030	Pentose phosphate pathway	['K08094', 'K13831']	[' 5.3.1.27']	['R09780']
map00030	Pentose phosphate pathway	['K17468']	[' 4.3.1.29']	['R10408']
map00030	Pentose phosphate pathway	['K17464', 'K17465', 'K17466', 'K17467']	[' 2.7.1.203']	['R10407']
map00030	Pentose phosphate pathway	['K18020', 'K18021', 'K18022']	[' 1.2.99.8']	['R10324']
map00030	Pentose phosphate pathway	['K00131']	[' 1.2.1.9']	['R01058']
map00030	Pentose phosphate pathway	['K18127']	[' 4.1.2.51']	['R08570']
map00030	Pentose phosphate pathway	['K18124']	[' 1.1.1.360']	['R07147']
map00030	Pentose phosphate pathway	['K18125']	[' 1.1.1.359']	['R07147']
map00030	Pentose phosphate pathway	['K18126']	[' 2.7.1.178']	['R01541']
map00030	Pentose phosphate pathway	['K18128']	[' 1.2.1.89']	['R10615']
map00030	Pentose phosphate pathway	['K18978']	[' 1.2.1.90']	['R01058', 'R10860']
map00030	Pentose phosphate pathway	['K00033']	[' 1.1.1.343']	['R10221']
map00030	Pentose phosphate pathway	['K00036']	[' 1.1.1.363']	['R02736', 'R10907']
map00030	Pentose phosphate pathway	['K19243']	[' 1.1.1.388']	['R10907']
map00030	Pentose phosphate pathway	['K00895', 'K21071']	[' 2.7.1.90']	['R02073']
map00030	Pentose phosphate pathway	['K21056']	['K21056 (E2.7.1.212)', ' 2.7.1.212']	['R11535']
map00030	Pentose phosphate pathway	['K26208']	['K26208 (E2.7.1.239)', ' 2.7.1.239']	['R13089']
map00030	Pentose phosphate pathway	['K18237', 'K18237']	[' 5.3.1.29']	['R10555']
map00040	Pentose and glucuronate interconversions	['K01184']	['K01184 (E3.2.1.15)', ' 3.2.1.15']	['R01982']
map00040	Pentose and glucuronate interconversions	['K03078']	[' 4.1.1.85']	['R07125']
map00040	Pentose and glucuronate interconversions	['K00880']	[' 2.7.1.53']	['R07127']
map00040	Pentose and glucuronate interconversions	['K01195', 'K14756']	[' 3.2.1.31']	['R01478']
map00040	Pentose and glucuronate interconversions	['K01804']	[' 5.3.1.4']	['R01761']
map00040	Pentose and glucuronate interconversions	['K00853', 'K24707']	[' K24707 (E2.7.1.16)', ' 2.7.1.16']	['R02439']
map00040	Pentose and glucuronate interconversions	['K00039']	[' 1.1.1.56']	['R01895']
map00040	Pentose and glucuronate interconversions	['K00875', 'K22935']	[' 2.7.1.47']	['R01526']
map00040	Pentose and glucuronate interconversions	['K00853', 'K24707']	[' K24707 (E2.7.1.16)', ' 2.7.1.16']	['R01526']
map00040	Pentose and glucuronate interconversions	['K01783']	[' 5.1.3.1']	['R01529']
map00040	Pentose and glucuronate interconversions	['K03077']	[' 5.1.3.4']	['R05850']
map00040	Pentose and glucuronate interconversions	['K21680']	['K21680 (E1.1.1.137)', ' 1.1.1.137']	['R01524', 'R01525']
map00040	Pentose and glucuronate interconversions	['K21030', 'K21031', 'K21681']	[' 2.7.7.40']	['R02921']
map00040	Pentose and glucuronate interconversions	['K03079']	[' 5.1.3.22']	['R03244']
map00040	Pentose and glucuronate interconversions	['K00007']	[' 1.1.1.11']	['R05604']
map00040	Pentose and glucuronate interconversions	['K00854']	[' 2.7.1.17']	['R01639']
