KO	Modelseed_reaction
K13953	rxn11834	
K13953	rxn11838	
K13953	rxn14089	
K13953	rxn31891	
K13953	rxn32074
K13953	rxn32682	
K13953	rxn34308	
K13953	rxn38034	
K13953	rxn38318	
K13954	rxn04726
K13954	rxn05871	
K13954	rxn14089	
K13954	rxn31891	
K13954	rxn34308	
K13954	rxn38034	
K13954	rxn38318	
K13951	rxn05871	
K13951	rxn11809	
K13951	rxn11834	
K13951	rxn11838	
K13951	rxn32074
K13951	rxn32682	
K13951	rxn38034	
K13951	rxn38318	
K13952	rxn05871	
K13952	rxn11809	
K13952	rxn11834	
K13952	rxn11838	
K13952	rxn32074
K13952	rxn32682	
K13952	rxn38034	
K13952	rxn38318	
K01960	rxn28116
K12629	rxn06949
K12628	rxn03938
K01968	rxn27997
K00637	rxn06002
K00634	rxn00871
K01966	rxn20619
K00635	rxn06145
K01965	rxn20619
K00632	rxn00598	
K00632	rxn03128	
K00632	rxn03866	
K00632	rxn07681	
K00632	rxn07685	
K00632	rxn07689	
K00632	rxn07880	
K00632	rxn07884	
K00632	rxn19979	
K00632	rxn19980	
K00632	rxn19982	
K00632	rxn19986	
K00632	rxn19988	
K00632	rxn19989	
K00632	rxn33120	
K00632	rxn33363
K01964	rxn20619	
K01964	rxn38011
K01963	rxn34705
K01963	rxn38011	
K00630	rxn05901	
K00630	rxn14401
K01962	rxn34705
K01962	rxn38011	
K00631	rxn05901	
K00631	rxn14401
K01961	rxn34708	
K01961	rxn38011
K12630	rxn03940
K00629	rxn05901	
K00629	rxn14401
K00627	rxn30418	
K00627	rxn38077
K01959	rxn28116
K00628	rxn01773
K01958	rxn28116
K12636	rxn25582
K12635	rxn03946
K12638	rxn07275	
K12638	rxn11688	
K12638	rxn21914	
K12638	rxn21915	
K12638	rxn31531	
K12638	rxn32219
K12637	rxn07275	
K12637	rxn11688	
K12637	rxn21914	
K12637	rxn21915	
K12637	rxn31531	
K12637	rxn32219
K13967	rxn01506
K13967	rxn01951	
K12632	rxn03942
K12631	rxn06950
K12634	rxn03945
K12633	rxn03943	
K12633	rxn03944
K00625	rxn28107	
K00625	rxn34298
K00626	rxn19980
K00626	rxn31210	
K01956	rxn01016	
K01956	rxn30680
K01956	rxn38060	
K00623	rxn00753
K01955	rxn01016	
K01955	rxn30680
K01955	rxn38060	
K00624	rxn19260
K01954	rxn01016	
K01954	rxn30680
K01954	rxn38060	
K00621	rxn33205
K01953	rxn38046
K00622	rxn07730	
K00622	rxn07826	
K00622	rxn11776
K00622	rxn11778	
K01952	rxn32174
K01951	rxn11772	
K01951	rxn27919	
K01951	rxn38134
K00620	rxn33610
K00620	rxn38121	
K01950	rxn33083
K13935	rxn30156
K13930	rxn09320
K00650	rxn15302
K00651	rxn01303
K00651	rxn33981	
K13939	rxn30368
K13939	rxn30369	
K13939	rxn30380	
K13939	rxn30396	
K13937	rxn19018
K13937	rxn38115	
K13938	rxn30104
K13938	rxn32434	
K00658	rxn17745	
K00658	rxn31235
K00658	rxn31236	
K00659	rxn14193	
K00659	rxn19858	
K00659	rxn25846
K00659	rxn25892	
K00656	rxn34258	
K00656	rxn35425
K01988	rxn02491
K00657	rxn00855
K00654	rxn27107
K00655	rxn06140	
K00655	rxn14402
K00652	rxn02297
K00649	rxn05919
K13942	rxn06696
K13940	rxn30368
K13940	rxn30396	
K13941	rxn30369
K13941	rxn30380	
K13941	rxn30396	
K01971	rxn15042
K00640	rxn27109
K00647	rxn30096
K00647	rxn31276	
K00647	rxn37965	
K00647	rxn38482	
K00647	rxn38485	
K00647	rxn38486	
K00647	rxn38487	
K00647	rxn38490	
K00645	rxn30156
K00643	rxn30135
K00641	rxn01303
K00641	rxn33981	
K01972	rxn15043
K01929	rxn03140
K01929	rxn13914	
K01928	rxn02011
K01925	rxn02008
K13919	rxn15325
K13917	rxn06499
K01924	rxn02286
K01923	rxn37546
K01922	rxn12512
K01921	rxn38070
K01920	rxn27892
K01919	rxn27893
K01918	rxn35352
K01917	rxn01403
K01916	rxn32216
K01915	rxn19836
K01914	rxn00340
K13922	rxn09944
K13923	rxn28107
K13920	rxn15325
K13921	rxn01710
K13929	rxn14087
K13927	rxn09320
K01913	rxn30338	
K01913	rxn32413	
K01913	rxn33484
K01912	rxn30045
K01911	rxn02831
K01910	rxn06694
K00618	rxn33610
K00619	rxn33610
K00616	rxn33318
K01948	rxn38000
K01947	rxn00792	
K01947	rxn02128	
K01947	rxn03047
K01947	rxn06864	
K01947	rxn12510	
K01946	rxn38011
K00615	rxn27536
K00615	rxn31366	
K00615	rxn34273	
K00615	rxn38499	
K01945	rxn27916
K00613	rxn01461
K00613	rxn19855	
K00610	rxn35448
K01942	rxn00792
K01942	rxn06864	
K00611	rxn28051
K01941	rxn35318
K01940	rxn27717
K00609	rxn35448
K01939	rxn27686
K00608	rxn35448
K01938	rxn31923
K00605	rxn06600	
K00605	rxn19763
K00605	rxn24149	
K01937	rxn32058
K01937	rxn33242	
K00606	rxn30578
K00603	rxn01641
K00603	rxn02283	
K01935	rxn27785
K00604	rxn30128
K01934	rxn32228
K00601	rxn32750
K00601	rxn35343	
K01933	rxn32851
K00602	rxn27692	
K00602	rxn30710
K00600	rxn15964
K00600	rxn38130	
K01930	rxn15454	
K01930	rxn19488
K01930	rxn30129	
K11473	rxn34231
K11472	rxn34231
K09186	rxn06515	
K09186	rxn06804	
K09186	rxn27929	
K09186	rxn31454
K09189	rxn06515	
K09189	rxn06804	
K09189	rxn27929	
K09189	rxn31454
K09187	rxn06515	
K09187	rxn06804	
K09187	rxn27929	
K09187	rxn31454
K10150	rxn03380	
K10150	rxn05035	
K10150	rxn05909	
K10150	rxn30635	
K10150	rxn32343
K10150	rxn33241	
K10150	rxn35480	
K09188	rxn06515	
K09188	rxn06804	
K09188	rxn27929	
K09188	rxn31454
K10156	rxn07621
K22133	rxn01135
K00793	rxn32591
K00794	rxn32021
K00791	rxn14073
K22101	rxn02986
K00790	rxn00461
K00799	rxn04809	
K00799	rxn04810	
K00799	rxn04811	
K00799	rxn04830	
K00799	rxn04831	
K00799	rxn04832	
K00799	rxn04833	
K00799	rxn04872	
K00799	rxn04873	
K00799	rxn04886	
K00799	rxn04894	
K00799	rxn04895	
K00799	rxn04896	
K00799	rxn04903	
K00799	rxn07181	
K00799	rxn11808	
K00799	rxn15652	
K00799	rxn16246	
K00799	rxn31674
K00799	rxn31883	
K00799	rxn32152	
K00797	rxn12049
K00797	rxn28988	
K00797	rxn34576	
K00798	rxn03535	
K00798	rxn05029	
K00798	rxn08194
K00795	rxn38104	
K00795	rxn38135
K00796	rxn30369
K00796	rxn30380	
K00780	rxn03466
K00780	rxn06758	
K00788	rxn29006
K00789	rxn03264
K00789	rxn28979	
K00787	rxn38104	
K00787	rxn38135
K11431	rxn06515	
K11431	rxn06804	
K11431	rxn27929	
K11431	rxn31454
K11430	rxn06515	
K11430	rxn06804	
K11430	rxn27929	
K11430	rxn31454
K10105	rxn07585
K10106	rxn12005
K10106	rxn16837	
K11433	rxn06515	
K11433	rxn06804	
K11433	rxn27929	
K11433	rxn31454
K11432	rxn06515	
K11432	rxn06804	
K11432	rxn31454
K11440	rxn31731
K11440	rxn38398	
K11441	rxn01921
K22185	rxn15186
K22182	rxn16213
K22182	rxn32752	
K22186	rxn01753
K22199	rxn01986
K22199	rxn34262	
K10187	rxn07462	
K10187	rxn07463	
K10187	rxn14255
K10187	rxn16329	
K00759	rxn03039
K00759	rxn32386	
K00759	rxn38024	
K12745	rxn03544
K12748	rxn05112
K12747	rxn02198
K12742	rxn11733
K11410	rxn14277
K11410	rxn15392	
K12744	rxn03613
K12743	rxn19004
K00750	rxn05800	
K00750	rxn06453
K11419	rxn06515	
K11419	rxn06804	
K11419	rxn27929	
K11419	rxn31454
K00757	rxn01366
K00757	rxn01799	
K00757	rxn11757	
K00758	rxn01146	
K00758	rxn01799	
K00758	rxn11750	
K00758	rxn11758
K00756	rxn01146	
K00756	rxn01366	
K00756	rxn01648
K00756	rxn01799	
K00753	rxn31713
K11420	rxn06515	
K11420	rxn06804	
K11420	rxn27929	
K11420	rxn31454
K00748	rxn03159
K11425	rxn06515	
K11425	rxn06804	
K11425	rxn27929	
K11425	rxn31454
K11428	rxn06515	
K11428	rxn06804	
K11428	rxn27929	
K11428	rxn31454
K11427	rxn06515	
K11427	rxn06804	
K11427	rxn27929	
K11427	rxn31454
K11422	rxn06515	
K11422	rxn06804	
K11422	rxn27929	
K11422	rxn31454
K11421	rxn06515	
K11421	rxn06804	
K11421	rxn27929	
K11421	rxn31454
K11424	rxn06515	
K11424	rxn06804	
K11424	rxn27929	
K11424	rxn31454
K11423	rxn06515	
K11423	rxn06804	
K11423	rxn27929	
K11423	rxn31454
K11429	rxn06515	
K11429	rxn06804	
K11429	rxn27929	
K11429	rxn31454
K00747	rxn06741	
K00747	rxn07241
K00741	rxn03183
K12724	rxn07166
K12724	rxn07167	
K12723	rxn07152
K12720	rxn07150
K12722	rxn07166
K12722	rxn07167	
K12721	rxn07151
K00772	rxn01022
K00770	rxn15581	
K00770	rxn38471
K12729	rxn07707
K00773	rxn06485
K12731	rxn07709	
K12731	rxn07710
K12730	rxn07709
K12732	rxn31656
K00760	rxn11765	
K00760	rxn11766	
K00760	rxn11773	
K00760	rxn32386	
K00760	rxn32969	
K00760	rxn33365
K00760	rxn38024	
K00761	rxn29942
K00768	rxn38087
K00769	rxn32386
K00769	rxn33365	
K00766	rxn38274
K00767	rxn31437
K00764	rxn28100
K00765	rxn19213
K00762	rxn38243
K00763	rxn31946
K00718	rxn31285
K00718	rxn31293	
K00718	rxn31294	
K00718	rxn31296	
K00718	rxn31298	
K00718	rxn31301	
K00718	rxn31494	
K00718	rxn31495	
K00718	rxn31496	
K00718	rxn31497	
K00715	rxn03460
K00715	rxn03461	
K00715	rxn06749	
K12702	rxn07155
K12701	rxn07154
K12704	rxn07156
K12703	rxn07156
K12709	rxn04592	
K12709	rxn04593	
K12709	rxn07168
K12705	rxn04593
K12708	rxn04579	
K12708	rxn07160
K12707	rxn04578
K00706	rxn05800
K00704	rxn15048
K00705	rxn31426	
K00705	rxn34307
K12713	rxn04588
K12712	rxn04584	
K12712	rxn04587
K12712	rxn04590	
K12714	rxn07165
K12711	rxn04584	
K12711	rxn04586
K12711	rxn04589	
K12719	rxn07150
K00702	rxn15098
K00703	rxn31314
K00700	rxn31229
K00728	rxn11590
K00729	rxn31867
K00726	rxn31492
K00725	rxn02494	
K00725	rxn03459
K00725	rxn06736	
K00720	rxn01088
K00721	rxn05918
K22268	rxn15194
K22270	rxn01884
K22251	rxn00762
K22252	rxn02437
K22252	rxn02439	
K09251	rxn00856
K10248	rxn16256
K10249	rxn16256
K10244	rxn16256
K10245	rxn07572	
K10245	rxn16256
K10245	rxn30096	
K10246	rxn07572	
K10246	rxn16256
K10246	rxn30096	
K10247	rxn16256
K22224	rxn00669
K22224	rxn31758	
K22223	rxn35247
K22229	rxn01277
K10251	rxn03200	
K10251	rxn03201	
K10251	rxn07573
K10251	rxn14007	
K10251	rxn14276	
K10251	rxn36714	
K10251	rxn36715	
K10250	rxn16256
K10258	rxn16287
K10258	rxn25652	
K22230	rxn16801
K10220	rxn03089
K10221	rxn02980
K10226	rxn06492	
K10226	rxn07651	
K10226	rxn07723
K10222	rxn01898	
K10222	rxn03660
K10223	rxn07205
K22203	rxn02610
K22208	rxn16818
K22207	rxn33352
K22211	rxn08659
K22210	rxn01157
K22215	rxn15125
K22215	rxn15131	
K22284	rxn15315
K22284	rxn15536	
K22283	rxn15315
K22283	rxn15536	
K00818	rxn30089
K00819	rxn33315
K00816	rxn01435	
K00816	rxn02912
K00816	rxn16207	
K00816	rxn16214	
K00817	rxn37937	
K00817	rxn38148	
K00817	rxn38254
K00814	rxn38029
K00815	rxn32249
K00815	rxn37937	
K00815	rxn38254	
K00812	rxn30355	
K00812	rxn32253	
K00812	rxn33295	
K00812	rxn33740	
K00812	rxn34671
K00812	rxn37937	
K00812	rxn38254	
K00813	rxn30355	
K00813	rxn32253	
K00813	rxn33295	
K00813	rxn33740	
K00813	rxn34671
K00813	rxn37937	
K00813	rxn38254	
K00811	rxn30355	
K00811	rxn32253	
K00811	rxn33295	
K00811	rxn33740	
K00811	rxn34671
K00811	rxn37937	
K00811	rxn38254	
K00807	rxn02194
K00808	rxn00015
K00805	rxn29019
K00806	rxn32376
K00803	rxn06644
K00804	rxn38099
K00804	rxn38104	
K00804	rxn38135	
K00801	rxn32418
K00801	rxn37933	
K00801	rxn38677	
K00802	rxn34576
K00800	rxn33166
K10205	rxn16256
K10206	rxn24414
K11538	rxn14277
K10207	rxn33213
K11532	rxn30665	
K11532	rxn31218
K11532	rxn31660	
K10203	rxn07572	
K10203	rxn16256
K10203	rxn30096	
K11533	rxn25720	
K11533	rxn25745	
K11533	rxn25746	
K11533	rxn25749	
K11533	rxn30096	
K11533	rxn30140	
K11533	rxn30156	
K11533	rxn30175	
K11533	rxn31225	
K11533	rxn31253	
K11533	rxn31254	
K11533	rxn31255	
K11533	rxn31256	
K11533	rxn31257	
K11533	rxn31272	
K11533	rxn31275	
K11533	rxn31276	
K11533	rxn31277	
K11533	rxn31321	
K11533	rxn31322	
K11533	rxn31323	
K11533	rxn31324	
K11533	rxn31325	
K11533	rxn31326	
K11533	rxn31327	
K11533	rxn37965	
K11533	rxn38482	
K11533	rxn38484
K11533	rxn38485	
K11533	rxn38486	
K11533	rxn38487	
K11533	rxn38489	
K11533	rxn38490	
K11533	rxn38492	
K10208	rxn11684	
K10208	rxn16635	
K10208	rxn37933
K10209	rxn07468	
K10209	rxn16536	
K10209	rxn16565	
K10209	rxn16592
K10209	rxn16593	
K10209	rxn16594	
K00878	rxn31983
K00879	rxn02319
K00876	rxn00365	
K00876	rxn00368	
K00876	rxn00369	
K00876	rxn00707	
K00876	rxn00712	
K00876	rxn00715	
K00876	rxn01128	
K00876	rxn01129
K00876	rxn01370	
K00876	rxn01510	
K00876	rxn01515	
K00876	rxn01516	
K00876	rxn01674	
K00876	rxn01679	
K00876	rxn01705	
K00876	rxn01706	
K00876	rxn11760	
K00876	rxn38831	
K00876	rxn38833	
K00877	rxn16839
K00877	rxn28046	
K00877	rxn28109	
K00877	rxn32104	
K00874	rxn15220
K00875	rxn15219
K00872	rxn38153
K00873	rxn01667	
K00873	rxn35242	
K00873	rxn35430	
K00873	rxn35439
K00873	rxn35442	
K11541	rxn01016	
K11541	rxn30680
K11541	rxn35448	
K11541	rxn38060	
K10210	rxn07469	
K10210	rxn16514
K10210	rxn16575	
K10210	rxn16576	
K11540	rxn01016	
K11540	rxn30680
K11540	rxn35448	
K11540	rxn35449	
K11540	rxn38060	
K00869	rxn31430
K10215	rxn07627
K10215	rxn07628	
K10216	rxn01896
K10216	rxn03663	
K10216	rxn04096	
K10217	rxn01993
K10217	rxn02744	
K10217	rxn03654	
K10218	rxn00004	
K10218	rxn00255
K10211	rxn07470
K10212	rxn07471
K10213	rxn15229	
K10213	rxn15306
K10213	rxn37586	
K10213	rxn37600	
K10214	rxn14015
K10214	rxn14367	
K00860	rxn03372
K00860	rxn27688	
K10219	rxn02981
K10219	rxn02982	
K10219	rxn03055	
K10219	rxn03056	
K00867	rxn02128	
K00867	rxn03047
K00867	rxn12510	
K00868	rxn38691	
K00868	rxn38692	
K00868	rxn38694
K00865	rxn27876
K00866	rxn38064
K00863	rxn00744
K00863	rxn00780	
K00864	rxn00615
K00861	rxn32424
K00892	rxn19878
K00892	rxn32633	
K00893	rxn01220	
K00893	rxn38020
K00891	rxn38710
K11517	rxn34231
K00899	rxn02894
K00894	rxn38094
K00895	rxn15298	
K00895	rxn31651
K00881	rxn02552
K00882	rxn30019
K00880	rxn01389
K00880	rxn04930	
K11529	rxn27876
K11528	rxn30068
K00889	rxn32724
K00887	rxn03900
K00888	rxn06365
K00885	rxn01951
K00886	rxn06120	
K00886	rxn15314
K00883	rxn02429
K00884	rxn15155
K00838	rxn17384	
K00838	rxn37937	
K00838	rxn38254
K00836	rxn04786
K00835	rxn29946
K00832	rxn32249	
K00832	rxn37694
K00832	rxn37937	
K00832	rxn38254	
K00833	rxn27779
K00830	rxn32557	
K00830	rxn33134	
K00830	rxn33642
K00830	rxn35212	
K00831	rxn03445
K00831	rxn20630	
K00827	rxn27522
K00827	rxn32557	
K00827	rxn35212	
K00825	rxn01435	
K00825	rxn02912
K00825	rxn17384	
K00826	rxn38053	
K00826	rxn38054
K00826	rxn38055	
K00823	rxn27867
K00823	rxn28267	
K00824	rxn01156	
K00824	rxn03426
K00824	rxn06168	
K00824	rxn06281	
K00824	rxn11968	
K00824	rxn27774	
K00821	rxn03087
K00821	rxn30089	
K00822	rxn02925
K00822	rxn32234	
K00820	rxn32371
K00858	rxn38696
K00859	rxn33067
K00856	rxn38020
K00857	rxn01143	
K00857	rxn01518
K00857	rxn11761	
K00854	rxn32122
K00855	rxn38263
K00852	rxn01987
K00852	rxn33469	
K00853	rxn01763
K00853	rxn15219	
K00850	rxn32492	
K00850	rxn32571	
K00850	rxn32803	
K00850	rxn33087	
K00850	rxn34257	
K00850	rxn38004
K00851	rxn34226
K00849	rxn34770
K00847	rxn32658	
K00847	rxn33497	
K00847	rxn38344
K00848	rxn01390
K00848	rxn02161	
K00845	rxn33404	
K00845	rxn34232
K00845	rxn38359	
K00846	rxn00627
K00846	rxn15430	
K00844	rxn31936
K00844	rxn32488	
K00844	rxn32658	
K00844	rxn33404	
K00844	rxn33497	
K00844	rxn34232	
K00844	rxn38344	
K00844	rxn38359	
K00841	rxn03086
K00840	rxn33174
K08081	rxn02033
K08080	rxn05930
K08080	rxn15253	
K22387	rxn07265
K21053	rxn00926
K21058	rxn15931
K22389	rxn06089
K22389	rxn06562	
K22389	rxn07650	
K22389	rxn15170	
K21057	rxn00365
K21057	rxn01220	
K21057	rxn38831	
K08074	rxn04042	
K08074	rxn15953	
K08074	rxn15954
K21070	rxn17124
K21063	rxn31834
K22394	rxn03974	
K22394	rxn08458
K22394	rxn08521	
K21062	rxn01635
K22393	rxn03974	
K22393	rxn08458
K22393	rxn08521	
K22392	rxn15827
K22391	rxn00302	
K22391	rxn03174	
K22391	rxn03419
K22391	rxn03421	
K22397	rxn01306
K22396	rxn01753
K21064	rxn31834
K22395	rxn01887	
K22395	rxn02758	
K22395	rxn02814	
K22395	rxn04424
K08069	rxn02130
K21030	rxn02089
K22361	rxn03744
K22360	rxn03744
K21031	rxn02089
K22362	rxn03744
K08096	rxn05058
K08097	rxn07307
K08094	rxn03644	
K08094	rxn16622
K08099	rxn15938
K08099	rxn24415	
K08092	rxn01911	
K08092	rxn01912
K08093	rxn03643
K22373	rxn01057
K08041	rxn35429	
K08041	rxn35443
K11693	rxn14297
K08042	rxn35429	
K08042	rxn35443
K11695	rxn14198
K11694	rxn14147
K08045	rxn35429	
K08045	rxn35443
K08046	rxn35429	
K08046	rxn35443
K08043	rxn35429	
K08043	rxn35443
K08044	rxn35429	
K08044	rxn35443
K22345	rxn32706
K21013	rxn11530
K22354	rxn03744
K22353	rxn03744
K22358	rxn03744
K21026	rxn04110
K22357	rxn03744
K22356	rxn03744
K22355	rxn03744
K21029	rxn07291
K21028	rxn07293
K22359	rxn03744
K22321	rxn14133
K22321	rxn14362	
K22326	rxn04107
K10353	rxn01508
K08049	rxn35429	
K08049	rxn35443
K22336	rxn31826
K08047	rxn35429	
K08047	rxn35443
K08048	rxn35429	
K08048	rxn35443
K21071	rxn15298	
K21071	rxn31651	
K21071	rxn33087	
K21071	rxn34257	
K21071	rxn38004
K00919	rxn27525
K00917	rxn33087
K00918	rxn04043	
K00918	rxn15952	
K00918	rxn15953	
K00918	rxn15954
K00915	rxn17663
K00915	rxn24251	
K00915	rxn30409	
K00913	rxn02457
K00913	rxn02490	
K00913	rxn33617	
K00914	rxn06366
K12902	rxn14364
K12901	rxn15826
K12908	rxn14100
K12907	rxn15830
K12909	rxn03501
K12909	rxn14022	
K12909	rxn14060	
K12904	rxn16322
K12903	rxn15827
K12906	rxn15829
K12905	rxn15828
K00911	rxn17662
K00912	rxn27286
K00904	rxn01444
K00902	rxn05920
K12911	rxn13979
K12910	rxn13965
K12913	rxn13979
K12912	rxn13979
K12919	rxn04469	
K12919	rxn04470
K12918	rxn04197	
K12918	rxn04198	
K12918	rxn04200
K12915	rxn14181	
K12915	rxn15831
K12914	rxn14047
K12914	rxn14352	
K12917	rxn04212
K12917	rxn04214	
K00900	rxn30180
K00901	rxn06139
K00939	rxn27685
K00939	rxn32473	
K00938	rxn20592
K00933	rxn19327
K00934	rxn00396
K00931	rxn38123
K00932	rxn28091
K00930	rxn30332
K00928	rxn27724
K00929	rxn01236
K00926	rxn01016	
K00926	rxn37674
K00927	rxn38257
K00925	rxn28091	
K00925	rxn34299
K00922	rxn33106
K00923	rxn06366	
K00923	rxn06972
K00920	rxn06977
K00921	rxn06976
K00991	rxn31708
K00999	rxn06046
K00997	rxn06023
K00998	rxn06044
K00995	rxn06045
K00993	rxn06092
K00993	rxn06811	
K00993	rxn07100	
K00993	rxn32862	
K22305	rxn30983
K00994	rxn05971	
K00994	rxn06652
K00994	rxn06812	
K00994	rxn07266	
K00980	rxn00621
K00981	rxn06043
K00988	rxn35428
K00988	rxn35431	
K00987	rxn06499
K22316	rxn03150
K00983	rxn02943
K00983	rxn15146	
K12960	rxn16503
K08021	rxn04844
K08022	rxn01164
