ko	rxn	ModelSeed_ID
K11751	R02102	rxn01521
K11751	R02099	rxn01518
K03787	R02102	rxn01521
K03787	R02099	rxn01518
K02566	R02102	rxn01521
K02566	R02099	rxn01518
K08693	R02102	rxn01521
K08693	R02099	rxn01518
K07023	R02102	rxn01521
K07023	R02099	rxn01518
K08722	R02102	rxn01521
K08722	R02099	rxn01518
K08723	R02102	rxn01521
K08723	R02099	rxn01518
K25434	R02102	rxn01521
K25434	R02099	rxn01518
K00857	R02102	rxn01521
K00857	R02099	rxn01518
K05961	R02102	rxn01521
K05961	R02099	rxn01518
K01489	R02485	rxn01800
K01464	R02269	rxn01626
K01431	R00905	rxn00654
K06016	R00905	rxn00654
K13421	R01870	rxn01362
K00762	R01870	rxn01362
K00943	R02092	rxn01511
K00943	R02094	rxn01513
K01510	R02092	rxn01511
K01510	R02094	rxn01513
K14641	R02092	rxn01511
K14641	R02094	rxn01513
K14642	R02092	rxn01511
K14642	R02094	rxn01513
K01119	R03537	rxn02521
K08693	R03537	rxn02521
K09769	R03537	rxn02521
K24670	R03537	rxn02521
K01119	R01562	rxn01139
K08693	R01562	rxn01139
K03787	R01562	rxn01139
K01119	R02148	rxn01549
K08693	R02148	rxn01549
K01119	R05135	rxn03483
K08693	R05135	rxn03483
K09769	R05135	rxn03483
K24670	R05135	rxn03483
K00988	R01618	rxn01184
K19710	R01618	rxn01184
K01518	R00184	rxn00133
K18445	R00184	rxn00133
K01525	R00125	rxn00095
K01525	R00126	rxn00096
K00988	R00125	rxn00095
K00988	R00126	rxn00096
K19710	R00125	rxn00095
K19710	R00126	rxn00096
K01522	R00187	rxn00136
K18424	R00187	rxn00136
K01120	R00191	rxn00140
K13755	R00191	rxn00140
K18283	R00191	rxn00140
K19021	R00191	rxn00140
K13296	R00191	rxn00140
K18438	R00191	rxn00140
K13298	R00191	rxn00140
K13293	R00191	rxn00140
K18436	R00191	rxn00140
K18437	R00191	rxn00140
K13294	R00191	rxn00140
K03651	R00191	rxn00140
K01768	R00089	rxn00065
K05851	R00089	rxn00065
K05873	R00089	rxn00065
K08041	R00089	rxn00065
K08042	R00089	rxn00065
K08043	R00089	rxn00065
K08044	R00089	rxn00065
K08045	R00089	rxn00065
K08046	R00089	rxn00065
K08047	R00089	rxn00065
K08048	R00089	rxn00065
K08049	R00089	rxn00065
K11029	R00089	rxn00065
K11265	R00089	rxn00065
K01513	R00087	rxn00063
K04765	R00087	rxn00063
K01518	R02805	rxn02020
K01519	R02720	rxn01962
K00940	R00719	rxn00513
K00940	R00722	rxn00515
K18533	R00719	rxn00513
K18533	R00722	rxn00515
K01510	R00719	rxn00513
K01510	R00722	rxn00515
K14641	R00719	rxn00513
K14641	R00722	rxn00515
K14642	R00719	rxn00513
K14642	R00722	rxn00515
K01529	R00719	rxn00513
K01529	R00722	rxn00515
K16855	R00961	rxn00706
K01510	R00961	rxn00706
K14641	R00961	rxn00706
K14642	R00961	rxn00706
K01511	R00961	rxn00706
K12304	R00961	rxn00706
K12305	R00961	rxn00706
K01519	R00720	rxn00514
K00364	R01134	rxn00837
K26110	R01134	rxn00837
K01518	R01232	rxn00918
K03639	R09394	rxn16231
K20967	R09394	rxn16231
K21138	R00336	rxn00242
K01139	R00336	rxn00242
K01120	R01234	rxn00920
K13755	R01234	rxn00920
K18283	R01234	rxn00920
K19021	R01234	rxn00920
K13296	R01234	rxn00920
K13762	R01234	rxn00920
K08718	R01234	rxn00920
K13756	R01234	rxn00920
K13757	R01234	rxn00920
K13758	R01234	rxn00920
K13759	R01234	rxn00920
K13760	R01234	rxn00920
K13763	R01234	rxn00920
K13761	R01234	rxn00920
K18438	R01234	rxn00920
K13298	R01234	rxn00920
K01768	R00434	rxn00307
K05851	R00434	rxn00307
K05873	R00434	rxn00307
K08041	R00434	rxn00307
K08042	R00434	rxn00307
K08043	R00434	rxn00307
K08044	R00434	rxn00307
K08045	R00434	rxn00307
K08046	R00434	rxn00307
K08047	R00434	rxn00307
K08048	R00434	rxn00307
K08049	R00434	rxn00307
K11029	R00434	rxn00307
K11265	R00434	rxn00307
K12318	R00434	rxn00307
K12319	R00434	rxn00307
K12320	R00434	rxn00307
K12321	R00434	rxn00307
K12322	R00434	rxn00307
K22600	R00434	rxn00307
K12323	R00434	rxn00307
K12324	R00434	rxn00307
K01769	R00434	rxn00307
K00951	R00429	rxn00303
K07816	R00429	rxn00303
K01139	R00429	rxn00303
K25500	R01855	rxn01351
K01129	R01856	rxn01352
K16841	R03925	rxn02761
K22601	R02937	rxn02104
K22602	R11617	
K00365	R02106	rxn01523
K00365	R09514	rxn16356
K16838	R02106	rxn01523
K16838	R09514	rxn16356
K16839	R02106	rxn01523
K16839	R09514	rxn16356
K22879	R02106	rxn01523
K22879	R09514	rxn16356
K00106	R02103	rxn01522
K00106	R02107	rxn01524
K00087	R02103	rxn01522
K00087	R02107	rxn01524
K13479	R02103	rxn01522
K13479	R02107	rxn01524
K13480	R02103	rxn01522
K13480	R02107	rxn01524
K11177	R02103	rxn01522
K11177	R02107	rxn01524
K11178	R02103	rxn01522
K11178	R02107	rxn01524
K13483	R02103	rxn01522
K13483	R02107	rxn01524
K13481	R02103	rxn01522
K13481	R02107	rxn01524
K13482	R02103	rxn01522
K13482	R02107	rxn01524
K02083	R02423	rxn01747
K14977	R05554	rxn03842
K01488	R02556	rxn01858
K19572	R02556	rxn01858
K00940	R01857	rxn01353
K00940	R01858	rxn01354
K00873	R01857	rxn01353
K00873	R01858	rxn01354
K12406	R01857	rxn01353
K12406	R01858	rxn01354
K18533	R01857	rxn01353
K18533	R01858	rxn01354
K00940	R00330	rxn00237
K00940	R00335	rxn00241
K18533	R00330	rxn00237
K18533	R00335	rxn00241
K01510	R00330	rxn00237
K01510	R00335	rxn00241
K14641	R00330	rxn00237
K14641	R00335	rxn00241
K14642	R00330	rxn00237
K14642	R00335	rxn00241
K00942	R00332	rxn00239
K00942	R00328	rxn00236
K01510	R00332	rxn00239
K01510	R00328	rxn00236
K14641	R00332	rxn00239
K14641	R00328	rxn00236
K14642	R00332	rxn00239
K14642	R00328	rxn00236
K01511	R00332	rxn00239
K01511	R00328	rxn00236
K12304	R00332	rxn00239
K12304	R00328	rxn00236
K12305	R00332	rxn00239
K12305	R00328	rxn00236
K03783	R01969	rxn01446
K03784	R01969	rxn01446
K01487	R01676	rxn01225
K01951	R01230	rxn00916
K01951	R01231	rxn00917
K00760	R01229	rxn00915
K15780	R01229	rxn00915
K19836	R01229	rxn00915
K00769	R01229	rxn00915
K03816	R01229	rxn00915
K00088	R01130	rxn00834
K00106	R01768	rxn01297
K00106	R01769	rxn01298
K00087	R01768	rxn01297
K00087	R01769	rxn01298
K13479	R01768	rxn01297
K13479	R01769	rxn01298
K13480	R01768	rxn01297
K13480	R01769	rxn01298
K11177	R01768	rxn01297
K11177	R01769	rxn01298
K11178	R01768	rxn01297
K11178	R01769	rxn01298
K13483	R01768	rxn01297
K13483	R01769	rxn01298
K13481	R01768	rxn01297
K13481	R01769	rxn01298
K13482	R01768	rxn01297
K13482	R01769	rxn01298
K00602	R01127	rxn00832
K11176	R01127	rxn00832
K01486	R01244	rxn00926
K21053	R01244	rxn00926
K00940	R00086	rxn00062
K00940	R00331	rxn00238
K18533	R00086	rxn00062
K18533	R00331	rxn00238
K01510	R00086	rxn00062
K01510	R00331	rxn00238
K14641	R00086	rxn00062
K14641	R00331	rxn00238
K14642	R00086	rxn00062
K14642	R00331	rxn00238
K06928	R00086	rxn00062
K06928	R00331	rxn00238
K01509	R00086	rxn00062
K01509	R00331	rxn00238
K00940	R01137	rxn00839
K00940	R01138	rxn00840
K00873	R01137	rxn00839
K00873	R01138	rxn00840
K12406	R01137	rxn00839
K12406	R01138	rxn00840
K18533	R01137	rxn00839
K18533	R01138	rxn00840
K01081	R02088	rxn01507
K01081	R02089	rxn01508
K19970	R02088	rxn01507
K19970	R02089	rxn01508
K11751	R02088	rxn01507
K11751	R02089	rxn01508
K03787	R02088	rxn01507
K03787	R02089	rxn01508
K02566	R02088	rxn01507
K02566	R02089	rxn01508
K08693	R02088	rxn01507
K08693	R02089	rxn01508
K07023	R02088	rxn01507
K07023	R02089	rxn01508
K08722	R02088	rxn01507
K08722	R02089	rxn01508
K06952	R02088	rxn01507
K06952	R02089	rxn01508
K10353	R02088	rxn01507
K10353	R02089	rxn01508
K15519	R02088	rxn01507
K15519	R02089	rxn01508
K00893	R02088	rxn01507
K00893	R02089	rxn01508
K05961	R02088	rxn01507
K05961	R02089	rxn01508
K01488	R01560	rxn01137
K19572	R01560	rxn01137
K05810	R01560	rxn01137
K00759	R04378	rxn03039
K01756	R04559	rxn03136
K01923	R04591	rxn03147
K01587	R04591	rxn03147
K13713	R04591	rxn03147
K01587	R04209	rxn02938
K11808	R04209	rxn02938
K03147	R03472	rxn02485
K18447	R01885	rxn01375
K13988	R01054	rxn00775
K01515	R01054	rxn00775
K13987	R01054	rxn00775
K01517	R01054	rxn00775
K18453	R01054	rxn00775
K08312	R01054	rxn00775
K16954	R09997	rxn16843
K16955	R09997	rxn16843
K16968	R09513	rxn16355
K16968	R10206	rxn08468
K16969	R09513	rxn16355
K16969	R10206	rxn08468
K15762	R09513	rxn16355
K15762	R10206	rxn08468
K15765	R09513	rxn16355
K15765	R10206	rxn08468
K04091	R09513	rxn16355
K04091	R10206	rxn08468
K00299	R09513	rxn16355
K00299	R10206	rxn08468
K07306	R09500	rxn16342
K07306	R09501	rxn16343
K07307	R09500	rxn16342
K07307	R09501	rxn16343
K07308	R09500	rxn16342
K07308	R09501	rxn16343
K00184	R09500	rxn16342
K00184	R09501	rxn16343
K00185	R09500	rxn16342
K00185	R09501	rxn16343
K16964	R09500	rxn16342
K16964	R09501	rxn16343
K16965	R09500	rxn16342
K16965	R09501	rxn16343
K16966	R09500	rxn16342
K16966	R09501	rxn16343
K16967	R09786	rxn16628
K16967	R11546	
K21310	R09786	rxn16628
K21310	R11546	
K17285	R01851	rxn01350
K17486	R10333	rxn25795
K20034	R10820	
K20035	R11130	
K20036	R10936	
K16952	R03533	rxn06407
K16952	R07365	rxn05093
K16952	R09499	rxn16341
K17219	R03533	rxn06407
K17219	R07365	rxn05093
K17219	R09499	rxn16341
K17220	R03533	rxn06407
K17220	R07365	rxn05093
K17220	R09499	rxn16341
K17221	R03533	rxn06407
K17221	R07365	rxn05093
K17221	R09499	rxn16341
K17229	R03533	rxn06407
K17229	R07365	rxn05093
K17229	R09499	rxn16341
K17230	R03533	rxn06407
K17230	R07365	rxn05093
K17230	R09499	rxn16341
K08352	R05072	rxn11645
K08352	R10149	rxn40038
K08353	R05072	rxn11645
K08353	R10149	rxn40038
K08354	R05072	rxn11645
K08354	R10149	rxn40038
K16936	R10150	rxn40039
K16937	R10150	rxn40039
K05908	R10150	rxn40039
K08357	R10150	rxn40039
K08358	R10150	rxn40039
K08359	R10150	rxn40039
K01011	R01931	rxn01416
K02439	R01931	rxn01416
K01501	R00540	rxn00388
K01672	R10092	rxn00102
K18245	R10092	rxn00102
K18246	R10092	rxn00102
K01673	R10092	rxn00102
K01674	R10092	rxn00102
K01743	R10092	rxn00102
K01483	R00776	rxn00562
K16856	R00776	rxn00562
K16148	R11530	
K02781	R05820	rxn06983
K02782	R05820	rxn06983
K02783	R05820	rxn06983
K14471	R00406	rxn00286
K14472	R00406	rxn00286
K14470	R09283	rxn16143
K09709	R09282	rxn16142
K11214	R01844	rxn01344
K11781	R12161	
K11779	R12161	
K11780	R12162	
K11779	R12162	
K11212	R09398	rxn16235
K12234	R09400	rxn16237
K24998	R09400	rxn16237
K14940	R09401	rxn16238
K14941	R09397	rxn16234
K16792	R10392	rxn10595
K16793	R10392	rxn10595
K16792	R10393	rxn10468
K16793	R10393	rxn10468
K10978	R08214	rxn11745
K08097	R07476	rxn07307
K05979	R05789	rxn04036
K05884	R07136	rxn04934
K05884	R07137	rxn04935
K00024	R07136	rxn04934
K00024	R07137	rxn04935
K00025	R07136	rxn04934
K00025	R07137	rxn04935
K00026	R07136	rxn04934
K00026	R07137	rxn04935
K16844	R07136	rxn04934
K16844	R07137	rxn04935
K13039	R05774	rxn04026
K06034	R05774	rxn04026
K24393	R05774	rxn04026
K09733	R10935	
K19793	R11038	
K07144	R11039	
K06914	R10902	
K07072	R11040	
K11395	R10616	rxn40366
K18127	R10616	rxn40366
K00317	R01588	rxn06020
K00317	R02511	rxn06177
K14082	R09124	rxn10613
K14083	R09124	rxn10613
K14084	R09124	rxn10613
K14082	R09999	rxn16845
K16178	R09999	rxn16845
K16179	R09999	rxn16845
K08685	R00606	rxn13964
K15228	R00606	rxn13964
K15229	R00606	rxn13964
K14082	R09998	rxn16844
K16176	R09998	rxn16844
K16177	R09998	rxn16844
K22081	R01586	rxn01160
K22082	R01586	rxn01160
K22083	R01586	rxn01160
K22084	R00609	rxn05869
K22085	R00609	rxn05869
K22086	R00609	rxn05869
K22087	R00609	rxn05869
K10713	R08058	rxn07847
